n,alpha,d,theta_star,power
1000,0.1,2,0.203,0.9954
1000,0.1,10,0.203,1
1000,0.1,1,0.204,0.9468
1000,0.1,2,0.204,0.9926
1000,0.1,10,0.204,1
1000,0.1,1,0.205,0.9462
1000,0.1,2,0.205,0.9944
1000,0.1,10,0.205,1
1000,0.1,1,0.206,0.9482
1000,0.1,2,0.206,0.9924
1000,0.1,10,0.206,1
1000,0.1,1,0.207,0.9528
1000,0.1,2,0.207,0.9938
1000,0.1,10,0.207,1
1000,0.1,1,0.208,0.9564
1000,0.1,2,0.208,0.9936
1000,0.1,10,0.208,1
1000,0.1,1,0.209,0.9562
1000,0.1,2,0.209,0.997
1000,0.1,10,0.209,1
1000,0.1,1,0.21,0.95
1000,0.1,2,0.21,0.9976
1000,0.1,10,0.21,1
1000,0.1,1,0.211,0.9594
1000,0.1,2,0.211,0.9958
1000,0.1,10,0.211,1
1000,0.1,1,0.212,0.9588
1000,0.1,2,0.212,0.9956
1000,0.1,10,0.212,1
1000,0.1,1,0.213,0.9594
1000,0.1,2,0.213,0.996
1000,0.1,10,0.213,1
1000,0.1,1,0.214,0.9588
1000,0.1,2,0.214,0.9946
1000,0.1,10,0.214,1
1000,0.1,1,0.215,0.9628
1000,0.1,2,0.215,0.9964
1000,0.1,10,0.215,1
1000,0.1,1,0.216,0.9628
1000,0.1,2,0.216,0.9972
1000,0.1,10,0.216,1
1000,0.1,1,0.217,0.9656
1000,0.1,2,0.217,0.9972
1000,0.1,10,0.217,1
1000,0.1,1,0.218,0.9648
1000,0.1,2,0.218,0.9976
1000,0.1,10,0.218,1
1000,0.1,1,0.219,0.965
1000,0.1,2,0.219,0.9972
1000,0.1,10,0.219,1
1000,0.1,1,0.22,0.9662
1000,0.1,2,0.22,0.9972
1000,0.1,10,0.22,1
1000,0.1,1,0.221,0.9704
1000,0.1,2,0.221,0.9968
1000,0.1,10,0.221,1
1000,0.1,1,0.222,0.9698
1000,0.1,2,0.222,0.9984
1000,0.1,10,0.222,1
1000,0.1,1,0.223,0.9716
1000,0.1,2,0.223,0.9966
1000,0.1,10,0.223,1
1000,0.1,1,0.224,0.9744
1000,0.1,2,0.224,0.9974
1000,0.1,10,0.224,1
1000,0.1,1,0.225,0.97
1000,0.1,2,0.225,0.9976
1000,0.1,10,0.225,1
1000,0.1,1,0.226,0.9716
1000,0.1,2,0.226,0.9976
1000,0.1,10,0.226,1
1000,0.1,1,0.227,0.9722
1000,0.1,2,0.227,0.9984
1000,0.1,10,0.227,1
1000,0.1,1,0.228,0.972
1000,0.1,2,0.228,0.9978
1000,0.1,10,0.228,1
1000,0.1,1,0.229,0.9716
1000,0.1,2,0.229,0.998
1000,0.1,10,0.229,1
1000,0.1,1,0.23,0.9766
1000,0.1,2,0.23,0.998
1000,0.1,10,0.23,1
1000,0.1,1,0.231,0.9754
1000,0.1,2,0.231,0.9986
1000,0.1,10,0.231,1
1000,0.1,1,0.232,0.976
1000,0.1,2,0.232,0.9984
1000,0.1,10,0.232,1
1000,0.1,1,0.233,0.972
1000,0.1,2,0.233,0.9992
1000,0.1,10,0.233,1
