n,d,coord1,coord2,sim,theta_star_coord1,theta_star_coord2,covered
1000,2,-0.126,-0.017,1,0,0,1
1000,2,-0.126,-0.016,1,0,0,1
1000,2,-0.126,-0.015,1,0,0,1
1000,2,-0.126,-0.014,1,0,0,1
1000,2,-0.126,-0.013,1,0,0,1
1000,2,-0.126,-0.012,1,0,0,1
1000,2,-0.126,-0.011,1,0,0,1
1000,2,-0.126,-0.01,1,0,0,1
1000,2,-0.126,-0.00900000000000001,1,0,0,1
1000,2,-0.126,-0.00800000000000001,1,0,0,1
1000,2,-0.126,-0.00700000000000001,1,0,0,1
1000,2,-0.126,-0.00600000000000001,1,0,0,1
