n,n_sim,B,alpha,d,theta_star_1,reject,mean_test_stat,mean_case_1_prop,mean_case_2_prop,mean_case_3_prop
1000,1000,100,0.1,10,0.27,0.945,12769066.2426442,1,0,0
1000,1000,100,0.1,10,0.28,0.88,234789.309805076,0.999990000000001,1e-05,0
1000,1000,100,0.1,10,0.29,0.806,20419327.8012115,0.999990000000001,1e-05,0
1000,1000,100,0.1,10,0.3,0.721,46982.4966657858,0.999930000000001,7e-05,0
1000,1000,100,0.1,10,0.31,0.604,14832.1191671407,0.999960000000001,4e-05,0
1000,1000,100,0.1,10,0.32,0.484,3272.43960874148,0.999830000000001,0.00017,0
1000,1000,100,0.1,10,0.33,0.364,325.55277276433,0.999620000000001,0.00038,0
1000,1000,100,0.1,10,0.34,0.284,217.091592905854,0.999130000000001,0.00087,0
1000,1000,100,0.1,10,0.35,0.169,82.2687798702201,0.997820000000001,0.00218,0
1000,1000,100,0.1,10,0.36,0.106,19.850618748059,0.995920000000001,0.00408,0
1000,1000,100,0.1,10,0.37,0.054,5.77191239172008,0.992470000000001,0.00753,0
1000,1000,100,0.1,10,0.38,0.023,36.5665846547481,0.987420000000001,0.01258,0
1000,1000,100,0.1,10,0.39,0.018,1.28780496085305,0.978210000000001,0.02179,0
1000,1000,100,0.1,10,0.4,0.01,0.601840579246654,0.961600000000001,0.0384,0
1000,1000,100,0.1,10,0.41,0.005,0.359114807714895,0.935580000000001,0.06442,0
1000,1000,100,0.1,10,0.42,0.001,0.184275351596861,0.913530000000001,0.08647,0
1000,1000,100,0.1,10,0.43,0.001,0.202741767910154,0.877710000000001,0.12229,0
1000,1000,100,0.1,10,0.44,0,0.203581009271665,0.820590000000001,0.17941,0
1000,1000,100,0.1,10,0.45,0,0.261597059522238,0.752600000000001,0.2474,0
1000,1000,100,0.1,10,0.46,0,0.33580964591504,0.67349,0.32651,0
1000,1000,100,0.1,10,0.47,0,0.411368392764097,0.59456,0.40544,0
1000,1000,100,0.1,10,0.48,0,0.506295225045367,0.49775,0.50225,0
1000,1000,100,0.1,10,0.49,0,0.567844177371311,0.43504,0.56496,0
1000,1000,100,0.1,10,0.5,0,0.66045606128224,0.34147,0.65853,0
