alpha,n,d,theta_star,power,power_approx_2
0.1,1000,1,0.059,0.121442650255847,0.118370475046551
0.1,1000,2,0.059,0.321360481315383,0.377059500127786
0.1,1000,10,0.059,0.975000713787828,0.958412850098058
0.1,1000,1,0.06,0.127939997268318,0.127875715053964
0.1,1000,2,0.06,0.33701345767079,0.394704816666364
0.1,1000,10,0.06,0.979945471059832,0.964081743485775
0.1,1000,1,0.061,0.134675026808211,0.137716768946515
0.1,1000,2,0.061,0.352966049869871,0.412321807635992
0.1,1000,10,0.061,0.984040907768058,0.96906906218711
0.1,1000,1,0.062,0.141649453971627,0.147878389622457
0.1,1000,2,0.062,0.369193275317466,0.4298770193245
0.1,1000,10,0.062,0.987402495297996,0.973441533458528
0.1,1000,1,0.063,0.148864568057264,0.158344521980316
0.1,1000,2,0.063,0.385668625889192,0.44733878026178
0.1,1000,10,0.063,0.990136916876725,0.977261868062833
0.1,1000,1,0.064,0.15632121368848,0.16909843851673
0.1,1000,2,0.064,0.402364194359527,0.464677254914575
0.1,1000,10,0.064,0.992341120645572,0.980588559287859
0.1,1000,1,0.065,0.164019773096337,0.180122868885849
0.1,1000,2,0.065,0.41925081393171,0.481864478310685
0.1,1000,10,0.065,0.994101847854044,0.983475785936979
0.1,1000,1,0.066,0.171960149692516,0.191400122663574
0.1,1000,2,0.066,0.436298209731385,0.498874373593112
0.1,1000,10,0.066,0.99549556862064,0.985973403175006
